smiles,pIC50
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccsc6,6.84
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6csc7ccccc67,7.06
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6cscn6,5.36
C1CC(CCS1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,6.92
C1CC(CO1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,7.35
C1CC2(CCN1)Oc3ccccc3C(=C2)c4ccccc4,6.17
C1CC2CC(CC1N2c3ccccc3)c4c([nH]c5ccccc45)c6ccccc6,7.75
C1CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,7.11
C1CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccn6,6.70
C1CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6cccnc6,6.72
C1CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccncc6,7.05
C1CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6cnccn6,6.47
C1CCC(CC1)c2c[nH]c(n2)C3Cc4c([nH]c5ccccc45)C(N3)C6CCOCC6,6.87
C1CCN(C1)[C@@H]([C@H](N2CCCC2)c3ccccc3)c4ccccc4,4.50
C1CCN(C1)[C@H]([C@@H](N2CCCC2)c3ccccc3)c4ccccc4,4.50
C1CCN(CC1)C2CCN(CC2)c3nc4cnc(cc4s3)c5cncnc5,5.19
C1CCN(CC1)C2CCN(CC2)c3nc4ncc(cc4s3)c5cncnc5,4.63
C1CCN(CC1)[C@@H]([C@H](N2CCCCC2)c3ccccc3)c4ccccc4,4.60
C1CCN(CC1)[C@H]([C@@H](N2CCCCC2)c3ccccc3)c4ccccc4,4.50
C1CN(CCC1C2C(=Nc3ccccc23)c4ccccc4)c5ccccc5,7.10
C1CN2CCC1C(C2)c3oc(nn3)c4oc(cc4)c5cccnc5,4.69
C1CN2CCC1C(C2)c3onc(n3)c4oc(cc4)c5cccnc5,5.19
C1CN2CCC1[C@@]3(C2)Cc4cc(cnc4O3)c5cocc5,5.80
C1CN2CCC1[C@]3(CN=C(Nc4cc(ncn4)c5ccccc5)O3)C2,5.40
C1CN2CCC1[C@]3(CN=C(Nc4cc5ccccc5cn4)O3)C2,5.49
C1CN=C(N1)C2CC2(c3ccccc3)c4ccccc4,5.06
C1CNCC(C1)c2c([nH]c3ccccc23)c4ccccc4,5.31
C1Cc2n[nH]cc2c3nc(Nc4ccccn4)sc3C1,4.55
C1Cc2n[nH]cc2c3nc(Nc4ncccn4)sc3C1,4.52
C1Cc2sc(Nc3ccccn3)nc2c4c[nH]nc14,4.77
C1NCC(CC=C1)c2ccc3ccccc3c2,4.81
C1NCC(CC=C1)c2oc3ccccc3c2,4.72
CC#CC(CC(=O)O)c1ccc(Oc2ccc(cc2OC(F)F)C(F)(F)F)cc1F,4.60
CC#CCN1C(=O)N(Cc2ccc3ccc(Cl)cc3n2)C(=O)C=C1N4CCC[C@@H](N)C4,4.00
CC#CCn1c(N2CCCNCC2)c(C#N)c3N(C)C(=O)N(Cc4c(cnc5ccccc45)C#N)C(=O)c13,5.36
CC#CCn1c(N2CCCNCC2)c(C#N)c3N(C)C(=O)N(Cc4nc(C)c5ccccc5n4)C(=O)c13,4.92
CC#CCn1c(N2CCCNCC2)c(C#N)c3N(C)C(=O)N(Cc4ncc5ccccc5c4C#N)C(=O)c13,4.92
CC#CCn1c(N2CCCNCC2)c(C#N)c3N(C)C(=O)N(Cc4nccc5ccccc45)C(=O)c13,5.17
CC#CCn1c(N2CCC[C@@H](N)C2)c(C#N)c3N(C)C(=O)N(Cc4nc(C)c5ccccc5n4)C(=O)c13,4.66
CC#CCn1c(N2CCC[C@H](N)C2)c(C#N)c3N(C)C(=O)N(Cc4nccc5ccccc45)C(=O)c13,4.55
CC#C[C@H]([C@H]1OC(=O)NC1=O)c2ccc(Oc3ccc(cc3OC(F)F)C(F)(F)F)cc2,5.47
CC#Cc1cc(cs1)c2n[nH]c3c2Cc4cc(CN5CCN(C)CC5)ccc34,5.85
CC#Cc1cncc(c1)c2cc(ccc2O)C3(N=C(C)C(=N3)N)C4CC4,4.61
CC#Cc1cncc(c1)c2cc3c(OCC4(CC4)C35COC(=N5)N)cc2F,5.36
CC#Cc1cncc(c1)c2ccc3OC(CC4CC4)C5(COC5)C6(COC(=N6)N)c3c2,5.28
CC#Cc1cncc(c1)c2ccc3OCC4(CC4)C5(COC(=N5)N)c3c2,5.47
CC#Cc1cncc(c1)c2ccc3OCC4(COC4)C5(COC(=N5)N)c3c2,5.03
CC#Cc1cncc(c1)c2ccc3OCC4(COC4)C5(CSC(=N5)N)c3c2,5.22
CC#Cc1cncc(c1)c2cccc(c2)C3(N=C(C)C(=N3)N)C4CC4,4.84
CC#Cc1cncc(c1)c2cccc(c2)C3(N=C(N)c4c(F)cccc34)c5ccnc(c5)C(F)F,5.54
CC(=C)COc1ccccc1CN2CCC3(CC2)CCN(CC3)C(=O)c4ccncc4,5.76
CC(=C1CCN(CC1)c2ccc(cc2F)N3C[C@H](Cn4cc(F)nn4)OC3=O)C#N,4.68
CC(=C1CCN(CC1)c2ccc(cc2F)N3C[C@H](Cn4ccnn4)OC3=O)C#N,3.67
CC(=CCn1c(N2CCC[C@H](N)C2)c(C#N)c3N=CN(Cc4ccnc5ccccc45)C(=O)c13)C,5.38
CC(=O)C1=NN(\C(=C/2\S\C(=N/c3nc(cc(c4ccccc4)c3C#N)c5ccccc5)\N(C2=O)c6ccccc6)\S1)c7ccccc7,5.24
CC(=O)C1=NN(\C(=N\c2nc(cc(c3ccccc3)c2C#N)c4ccccc4)\S1)c5ccc(C)cc5,4.54
CC(=O)C1=NN(\C(=N\c2nc(cc(c3ccccc3)c2C#N)c4ccccc4)\S1)c5ccc(Cl)cc5,4.94
CC(=O)C1=NN(\C(=N\c2nc(cc(c3ccccc3)c2C#N)c4ccccc4)\S1)c5ccccc5,4.49
CC(=O)C1CCN(CCOc2ccn(n2)c3ccc(Cl)c(Cl)c3)CC1,5.35
CC(=O)N1CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,5.01
CC(=O)N1CCC(CC1)c2[nH]nc(c3ccc(F)cc3)c2c4ccncc4,6.10
CC(=O)N1CCC(CC1)c2cc(C)c(cc2C(F)(F)F)C(=O)NC(=N)N,5.15
CC(=O)N1CCC(CC1)n2cc(Nc3ncc(Cl)c(n3)c4cnc5ccccn45)c(C)n2,5.28
CC(=O)N1CCC(CC1)n2cc(Nc3ncc(Cl)c(n3)c4cnc5ccccn45)cn2,5.27
CC(=O)N1CCC(CC1)n2cc(Nc3ncc(Cl)c(n3)c4cnn5ccccc45)c(C)n2,5.14
CC(=O)N1CCC(CC1)n2nc(C)c(Nc3ncc(Cl)c(n3)c4cnc5ccccn45)c2C,4.57
CC(=O)N1CCC(CC1)n2nc(C)c(Nc3ncc(Cl)c(n3)c4cnn5ccccc45)c2C,4.64
CC(=O)N1CCC(CC1)n2ncc(Nc3ncc(Cl)c(n3)c4cnc5ccccn45)c2C,4.68
CC(=O)N1CCC[C@H](C1)c2nc(c3ccc(cc3F)C(=O)Nc4cc(ccn4)C(F)(F)F)c5c(N)nccn25,5.62
CC(=O)N1CCN(C(=O)C1(C)C)c2cccc(c2)c3cc(c4ccnn4CC(F)(F)F)c5c(N)ncnn35,4.77
CC(=O)N1CCN(CC1)[C@@H]2C[C@@H](C2)n3cc(c4cccc(OCC56CCC(CC5)O6)c4)c7c(N)ncnc37,4.82
CC(=O)N1CCN(CC1)c2ccc(OCC3COC(Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,5.72
CC(=O)N1CCN(CC1)c2cnc3cc(cc(NCc4cccc(c4)[N+](=O)[O-])c3c2)C(F)(F)F,6.34
CC(=O)N1CCN(CCOc2ccc(NC(=O)c3cccc(F)c3)cc2c4ccnn4C)CC1,5.39
CC(=O)N1CCN(CCOc2ccc(cc2)C3CCN(CC3)c4ccc5nnc(n5n4)C(F)(F)F)CC1,4.95
CC(=O)N1CCN(Cc2ccc3C[C@H](CCc3c2)N4CCN(CCc5ccc(F)cc5)CC4=O)CC1,4.60
CC(=O)N1CCN2CCCc3c(C)c4C(=O)CC(C)(C)Cc4n3c5ccc(C(=O)N)c(NC[C@H]2C1)c5,4.61
CC(=O)N1CCO[C@H](C1)c2nc(c3ccc(cc3F)C(=O)Nc4cc(ccn4)C(F)(F)F)c5c(N)nccn25,4.72
CC(=O)N1CCOc2cc3CCN(CCCSc4nnc(c5cccc6nc(C)ccc56)n4C)CCc3cc12,5.00
CC(=O)N1C[C@H](C[C@@H]1C(=O)N2CCCN(CC2)C3CCC3)Oc4cccc(F)c4,5.22
CC(=O)N1Cc2cc(Cl)ccc2n3c(C1)nnc3C4CCN(CC4)c5ccccn5,4.45
CC(=O)N1Cc2ccccc2CC1CN3CCC4(CC3)CCc5ccccc45,6.30
CC(=O)NC(=O)C1CCC(CC1)C2N=CC(=N2)c3cccc(Br)c3,6.30
CC(=O)NC1CC2CCC(C1)N2CCc3ccc(Oc4nc5ncccc5s4)cc3,5.20
