SMILES,Name,pIC50
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccccc23)CC1,CHEMBL12780,8.16
CCc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,CHEMBL300907,5.46
COC(=O)Cc1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,CHEMBL415944,6.88
CS(=O)(=O)Nc1ccc2c(c1)C(O)CC1(CCN(C3CCc4cc(C#N)ccc4C3)CC1)O2,CHEMBL52627,7.575
CC(C)(O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,CHEMBL52832,6.34
COC(=O)c1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,CHEMBL52999,7.44
Fc1ccc(-n2cc(C3CCNCC3)c3cc(Cl)ccc32)cc1,CHEMBL273235,6.69
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,CHEMBL583,4.2525
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],CHEMBL193,4.3
Oc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,CHEMBL60796,9.0
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,CHEMBL1110,5.51833333333
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,CHEMBL723,5.28166666667
CSc1ccc([C@H]2N=C(OCc3ccc(NS(C)(=O)=O)cc3)N(C)Cc3ccccc32)cc1.Cl,CHEMBL2093896,4.68
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,CHEMBL549,5.73
CSc1ccc([C@@H]2N=C(OCc3ccc(NS(C)(=O)=O)cc3)N(C)Cc3ccccc32)cc1.Cl,CHEMBL3350235,4.25
O=C(O[C@H]1C[C@@H]2C[C@@H]3C[C@@H](C1)N2CC3=O)C1CNc2ccccc21,CHEMBL319742,5.23
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,CHEMBL533,7.904
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,CHEMBL517,4.216
CN1Cc2ccccc2[C@@H](c2ccccc2)N=C1OCc1ccc(NS(C)(=O)=O)cc1.O=C(O)/C=C/C(=O)O,CHEMBL1788206,4.42
CN1Cc2ccccc2[C@H](c2ccc(F)cc2F)N=C1CCc1ccc(NS(C)(=O)=O)cc1.Cl,CHEMBL1788304,4.07
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,CHEMBL505,4.936
COc1ccc(C(=O)N2CCN(c3ccc4c(c3)CCC(=O)N4)CC2)cc1OC,CHEMBL17423,5.6575
Cl.OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,CHEMBL535650,5.25
Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,CHEMBL845,5.18
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,CHEMBL41,6.03142857143
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,CHEMBL1000,4.515
CN(C)CCOC(c1ccccc1)c1ccccc1,CHEMBL657,4.84666666667
CNCCCN1c2ccccc2CCc2ccccc21,CHEMBL72,5.6925
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,CHEMBL475534,5.0
CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,CHEMBL1088,6.45666666667
COc1ccc(C2CCN(CC[C@H]3CCOc4ccccc43)CC2)cc1OC,CHEMBL96153,6.83
COc1ccc(C2CCN(CCC3CCOc4ccccc43)CC2)cc1OC,CHEMBL94664,6.7
CN1Cc2ccccc2[C@H](c2ccccc2)N=C1OCc1ccc(NS(C)(=O)=O)cc1.O=C(O)/C=C/C(=O)O,CHEMBL2092889,4.54
NC1=NCC2c3ccccc3Cc3ccccc3N12,CHEMBL1106,4.01333333333
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,CHEMBL46,6.152
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL1294,6.312
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,CHEMBL715,6.39666666667
CN1Cc2ccccc2[C@@H](c2ccc(F)cc2F)N=C1CCc1ccc(NS(C)(=O)=O)cc1.Cl,CHEMBL2092890,4.42
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,CHEMBL652,5.41
Cl.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,CHEMBL1712,6.92
CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc1cccc(Cl)c1C#N,CHEMBL180672,7.615
CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1.Cl,CHEMBL537847,6.25
